User Name,Blaaskatheterisatie_bij_een_vrouw._verblijfskatheter,Covid-19-vaccin_van_Pfizer-BioNtech_injecteren,Inbrengen_neusmaagsonde,Verwisselen_huidplaat_en_stomazakje_eendelig_systeem,Verwisselen_suprapubische_verblijfskatheter,Voorbereiden_medicijn_injecteren_oplossing,Zwachtelen_onderbeen_met_korte_rek_zwachtels,Blaaskatheterisatie_bij_een_man._verblijfskatheter,Blaasspoelen_met_spoelzakje_via_verblijfskatheter,Inbrengen_canule_perifeer_infuus,Inbrengen_Saf-T-Intima_subcutane_infuuscanule,Injecteren_intramusculair_(loodrechttechniek),Injecteren_subcutaan_(huidplooitechniek),Injecteren_subcutaan_(loodrechttechniek_-_Fraxiparine),Reanimatie_met_AED_(1_persoon),Toedienen_medicijnen_in_wangzak,Toedienen_medicijnen_onder_tong,Toedienen_medicijnen_via_subcutane_infuuscanule_bolusinjectie,Verwisselen_huidplaat_en_stomazakje_tweedelig_systeem,Voorbereiden_medicijn_injecteren_ampul,Voorbereiden_medicijn_injecteren_flacon,Bloedglucosewaarde_meten_via_vingerprik,Subcutaan_injecteren_met_insulinepen,Toedienen_voeding_via_neus-maagsonde_met_pomp,Covid-19-vaccin_van_Moderna_injecteren,Techniek_handdesinfectie_met_handalcohol,Techniek_handen_wassen_met_water_en_zeep,Binnencanule_van_tracheacanule_reinigen,Toedienen_medicijnen_via_PEG-sonde
11168,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,
11172,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,
11173,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,
11177,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,
11179,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
11180,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
11181,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
11182,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,
11183,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,
11188,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
11189,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,
11190,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,
11191,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,
11193,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,
11194,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,
11195,,62,,,,,,,,,,,,,,,,,,,,98,,,,63,81,,
11197,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,
11202,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,
11205,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,
11221,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,
11222,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,
11224,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,
11234,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,
11235,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
11241,,,,,,,,,,,,100,100,,,96,39,,,122,,,,,,,,,
11247,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,
11248,,70,,,,,,,,,,,,,,,,,,,,,,,,,69,,
11260,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,
11278,,,,,,,,,,,,80,,,,,,,,,,,70,,,,,,
11280,,,,,,,,,,,,,110,,,,,,,,,,124,,,,,,
11289,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,
11317,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,
11319,,68,,,,,,,,,,46,,,,,,,,,,,69,,,,,34,
11347,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,
11351,,82,,,,,,100,,,,,,,,,,,,,,,,,,,,,
11360,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
11364,,,,,,,,,,,,,,,,88,117,,,,,,,,,,,,
11367,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,
11369,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,
11375,,,,,,,,,,,,,,,,,,,,,,98,130,,,,,,
11383,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,
11388,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,
11390,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,
11393,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
11397,,,,,,,,,,,,,,,,,,,,,,,,,,57,54,,
11412,,72,,,,,,,,,,,,,,,,,,,,,57,,,,,,
11421,,,,,,,,,,,,,114,,,,,,,,,,,50,,,81,,
11425,,,,,,,,,,,,100,,,,,,,,,,,57,,,,,,
11435,,,,,,,,,,,,,,,,,74,,,,,,,,,39,50,,
11436,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,
11437,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,
11438,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,
11439,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,
11440,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,
11441,,,,,,,,,,,,,,,,141,120,,,,,,,,,,50,,
11442,,,,,,,,,,,,,,,,,,,,,,,,,,57,58,,
11443,,,,,,,,,,,,,,,,,70,,,,,,,,,,78,,
11444,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,
11445,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
11446,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,
11447,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,
11448,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,
11449,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,
11450,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,
11451,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,
11452,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,
11458,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,
11461,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,
11473,,,,,,,,,,,,,,,,,,,,,,,,,,42,99,,
11474,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,
11477,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,
11486,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,
11488,,68,,,,,,,,,,,,,,,,,,,,,,,,60,50,,
11513,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,
11520,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,
11522,,,73,,,,36,,,,,,,,,,,,,,,,,,,,69,,
11523,,,,,,,,,,,,,,,,,,,,,,,,,,69,96,,
11531,,,,,,,,,,,,,,,,,,,,,,,,,,57,90,,
11537,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,
11589,,,,,,132,,,,,,,,,,,,,,,,,,,,33,,,
11590,,,,,,,,,,,,,,,,,,,,,,,,,,39,75,,
11591,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
11592,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,
11593,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,
11594,,66,,,,,,,,,,,,,,,,,,,,,,,,39,75,,
11595,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,
11596,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
11597,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,
11598,,,,,,,,,,,,,,,,,,,,,,,140,,,57,,,
11626,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,
11633,125,,,,,,31,109,59,,,94,,82,,,,,40,110,,86,60,,,51,,,
11660,100,,,,,,,94,,66,,,,,,,,,,,,,57,,,,,,
11671,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,
11715,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,
11719,104,74,,,,,54,105,,,,150,,,,,,,,,,,142,,126,,,,
11733,,,,78,,,,,,,,,,,,,,,80,,,,,,,,,,
11738,,,,,,,,,,,,,,,34,,,,,,,,,,,21,75,,
11749,,,,,,,,,,,,,,,,,,,,,,,,,,69,93,,
11782,,,,,,,,,,,,,106,102,,,,124,,,,44,,,,,,,
11786,,,,,,,,,,,,177,,,,,,,,,,,68,,,,,,
11810,,,,,,,,,,,,94,,,,,,,,110,,,,,,,,,
11825,,,,,,,21,99,,,,129,,,,90,,,,,,,,,,,,,
11842,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,
11860,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,
11863,,64,72,,,,,,,,,,,,,,,,,,,,,,,,,,
11873,112,64,,,,,30,,,,,,,,,,,,,,,,,,,,,,
11883,,,,156,,,,,,,,,,,,,,,100,,,,118,,,,,,
11897,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,
11909,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,
11948,,,,,,,,,,,,,,,,,,,,,,98,,,,63,87,,
11961,,,,,,,,,,,,,165,,,,,,,,,,,90,,,,,
11964,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,
11980,113,37,,,,,,,,,,,,,,,,,,,,,,,,30,,,
11989,,,,,,,,,,,,,,,,,,,,,,90,144,,,,,,
12001,,,,,,,,,,,,,,,,,,,,,,,,,,63,81,,
12049,,28,,,,,,,,,,159,,,,,,,,,,,62,,74,39,,,
12091,,,,41,96,,,106,,,,48,,,,94,,,102,,,47,66,,,,,60,
12133,,,,,,,,,,,,102,114,,,,,,,110,,,,,,,,,
12162,,34,83,,,128,82,,128,,,110,,,,159,,,,120,,98,148,,,,,43,
12166,,105,,,,,,,,,,,,,,,,,,,,84,,,,,,,
12179,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,
12185,,,,66,,,,,,,,,,,,,,,,,,,,,105,,,,
12194,,,,38,,,,,,,,,,,,,,,84,,,,,,,,,,
12201,,72,75,,,,43,,130,,,,,,,156,,,,,,98,140,,,38,58,,
12208,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,
12209,,,,,,,,,,,,,,,,,,,,,,144,,,,69,42,,
12210,,,,,,,,,,,,,,,,,,,,,,,,,,69,99,,
12212,,,,,,,,,,,,,,,,,,,,,,,,,,45,63,,
12213,,,,,,,,,,,,,,,,,,,,,,,,,,63,81,,
12214,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,
12224,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
12239,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,
12253,,68,174,42,,,92,,132,,,,174,144,,156,105,,,,,102,124,56,,69,93,,
12255,,62,64,,,,28,,106,,,,,,,,,,,,,92,61,,,,,,
12256,,76,170,,,,82,,118,,,,,,,159,120,,,,,86,130,122,,,93,,
12257,,80,79,,,,35,,53,,,,98,,,92,,,,,,98,68,,,,,,
12258,,74,150,,,,31,,124,,,,,147,,150,,,,,,98,124,,,,93,,
12303,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,
12335,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,
12352,,,,,,,,,,,,116,116,,,,,,,112,,,,,,,,,
12368,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,
12377,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,
12380,,,,,,,,,,,,,,,,,,,41,,,,,,,,,50,
12384,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,
12389,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,
12415,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,
12417,,,,86,,,,,,,,,,,,,,,102,,,,,,,,,,
12440,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,
12445,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,
12459,,,,,,,,,,,,,98,,52,,,,,,,,,,,,,,
12490,,,,,,,,,,,,,,,42,,,,,,,,62,,,,,,
12532,,,,,,,,,,,,,,,,,,,,,,94,134,,,,,,
12592,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,
12597,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,
12625,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12684,,74,,,,,,,,,,,,,42,,,,,,,,,,,,,,
12688,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,
12706,,36,73,,,,80,,130,,,,,,,150,117,134,,,,102,148,,,,63,,88
12712,,78,59,,,,39,,132,,,51,,,,92,,,,,,42,71,,,,,,
12737,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12783,,,,,,,,,,,,,,,,,,,,,,,142,,,,,,
12785,112,,,,,,,95,,,,,,,,,,,,,,,,,,,,,
12787,,,,,,,,,,,,,,,,,,,,,,,134,,,,,,
12809,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,
12835,,31,63,,,,39,,64,,,,118,94,,,,,,,,90,140,,,,,,82
12836,,68,67,,,,,,57,,,,,,,138,,,,,,147,128,,,,,,
12837,,38,,,,,26,,58,,,,,,,96,,,,,,48,,,,,,,
12841,,64,146,74,,,48,,122,,,,,,50,98,117,,88,,,92,134,,,,,,72
12842,,31,70,,,,36,,122,,,,,,,,,,,,,94,148,,,,,,
12843,,29,64,,,,68,,61,,,,53,,,100,78,,,,,48,130,,,,,,90
12844,,82,88,43,,,40,,60,,,96,102,,,51,78,,,,,102,75,64,76,,,,49
12846,,120,68,,,114,29,,122,,,,108,153,,94,114,,,106,96,90,61,,,51,75,,43
12848,,26,74,98,,,45,,120,,,,,,,,,,,,,82,66,,,,,,
12849,,28,,,,,,,124,,,,,,,,,,,,,,66,,,,21,,
12850,,,,,,,,,,,,,,,,,,,,,,98,138,,,,,,
12851,,56,60,,,,27,,92,,,,,,,98,105,,,,,76,,52,,,,,
12852,,70,69,,,108,86,,124,,,,,123,,150,117,,,,,45,62,,,,81,,
12888,,,,,,,,,,,,,,,,,,,,,,96,144,,,,,,
12892,,,,,,,,,,,,114,177,,,,,,,124,,,140,,,,,,
12895,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,
12903,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
12909,126,,,,,,,108,65,,,,,,,,,,,,,100,,,,,99,,
12926,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,
12931,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,
12941,,,,,,,,,,,,,,,,,,,,,,45,61,,,,,,
12952,,,,,,,,,,,,,,,,,,,,,,86,136,,,,,,
12967,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,
12987,,,,76,,,,,,,,,,,,,,,86,,,,,,,,,,
12991,,123,,,,,,,,,,,,,,,,,,90,,96,,,87,,,,
13011,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,
13121,127,,,84,,,,,,,,174,,,,,,,104,,,86,,,,,,,
13123,,,,,,,,,,,,,,,,,,,,,,,134,,,,,,
13165,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,
13189,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,
13196,,,,,,,,,,,,98,108,,,100,117,,62,116,,,,,,,,,
13219,,82,,,,,,,,,61,,,,,,,,,,,,68,,37,,,,
13229,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,
13243,,37,,,,,,,,,,,,,,,,,,,,,71,,,,,,
13246,113,,47,33,,,,109,114,,,,,,,,,,,,,80,,39,,,,47,
13280,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,
13294,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,
13312,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,
13413,,76,,,,,,,,,,,,,,,,,,,,,,,80,,,,
13418,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
13438,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13439,,,,,,,,109,,,,,,,,,,,,,,94,144,,,,,,74
13441,,,,,,,,,,,,,,,,,,,,,,80,134,,,,,,
13442,,,,,,,,114,,,,,,,,,,,,,,,138,,,,,,
13461,,,,,,,,,,,,49,,,,,,,,,,,128,,,,,,
13575,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,
13593,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,
13630,,,,,,,,,,,,,,,50,,,,,,,,134,,,,,,
13631,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,
13633,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,
13639,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
